,Emote,Number of times emote was toxic,Number of times emote was NOT toxic,Global emote,Channel emote,Toxicity Ratio
0,Jupijej,12,155,False,HasanAbi,0.0718562874251497
1,LETSGO,54,377,False,HasanAbi,0.12529002320185614
2,HYPERPOGGER,0,58,False,HasanAbi,0.0
3,bleedPurple,0,254,True,False,0.0
4,KappaRoss,0,1,True,False,0.0
5,hasL,6,201,False,HasanAbi,0.028985507246376812
6,hasRaid,5,79,False,HasanAbi,0.05952380952380952
7,VIBE,0,5,False,HasanAbi,0.0
8,Okayge,0,7,False,HasanAbi,0.0
9,NODDERS,6,48,False,HasanAbi,0.1111111111111111
10,hasGachi,0,10,False,HasanAbi,0.0
11,hasHug,0,4,False,HasanAbi,0.0
12,peepoHey,1,8,False,HasanAbi,0.1111111111111111
13,hasTasty,0,1,False,HasanAbi,0.0
14,<3,1,45,True,False,0.021739130434782608
15,LosPeepos,0,10,False,HasanAbi,0.0
16,peepoShy,5,22,False,HasanAbi,0.18518518518518517
17,HYPERS,4,21,False,HasanAbi,0.16
18,HeyGuys,0,8,True,False,0.0
19,blmCheer,0,18,False,HasanAbi,0.0
20,ppHop,0,11,False,HasanAbi,0.0
21,PogChamp,0,11,True,False,0.0
22,HIMBIES,0,10,False,HasanAbi,0.0
23,peepoPog,0,1,False,HasanAbi,0.0
24,hasHi,1,16,False,HasanAbi,0.058823529411764705
25,ppOverheat,0,8,False,HasanAbi,0.0
26,:),2,22,True,False,0.08333333333333333
27,OOOO,0,36,False,HasanAbi,0.0
28,FeelsOkayMan,0,5,True,False,0.0
29,COGGERS,0,6,False,HasanAbi,0.0
30,Chatting,2,58,False,HasanAbi,0.03333333333333333
31,pepegeHmm,0,7,False,HasanAbi,0.0
32,HOGGERS,48,110,False,HasanAbi,0.3037974683544304
33,WHAAAT,17,59,False,HasanAbi,0.2236842105263158
34,hasChair,0,11,False,HasanAbi,0.0
35,Prayge,1,33,False,HasanAbi,0.029411764705882353
36,R),0,1,True,False,0.0
37,hasKkona,0,7,False,HasanAbi,0.0
38,BibleThump,0,13,True,False,0.0
39,PMSTwin,0,2,True,False,0.0
40,ShazBotstix,0,2,True,False,0.0
41,AsianGlow,0,1,True,False,0.0
42,OneHand,0,1,True,False,0.0
43,DAESuppy,0,1,True,False,0.0
44,PunchTrees,0,1,True,False,0.0
45,DBstyle,0,1,True,False,0.0
46,SMOrc,0,4,True,False,0.0
47,FailFish,0,9,True,False,0.0
48,peepoHas,1,97,False,HasanAbi,0.01020408163265306
49,GuitarTime,0,7,True,False,0.0
50,hasSlam,1,63,False,HasanAbi,0.015625
51,HYPERNODDERS,12,149,False,HasanAbi,0.07453416149068323
52,SmokeTime,3,64,False,HasanAbi,0.04477611940298507
53,hasanSmash,0,14,False,HasanAbi,0.0
54,hasPOGGIES,0,14,False,HasanAbi,0.0
55,hasWicked,0,5,False,HasanAbi,0.0
56,AlienPls,6,13,False,HasanAbi,0.3157894736842105
57,Jammies,1,11,False,HasanAbi,0.08333333333333333
58,himboJAM,0,10,False,HasanAbi,0.0
59,pepeCD,5,7,False,HasanAbi,0.4166666666666667
60,PowerUpL,0,3,True,False,0.0
61,PowerUpR,0,3,True,False,0.0
62,Looking,2,3,False,HasanAbi,0.4
63,lebronJAM,6,13,False,HasanAbi,0.3157894736842105
64,hasHyperJAM,0,2,False,HasanAbi,0.0
65,DinoFrogDisco,0,1,False,HasanAbi,0.0
66,KomodoHype,0,1,True,False,0.0
67,PogU,5,20,False,HasanAbi,0.2
68,FeelsDankMan,0,18,True,False,0.0
69,GIGAHAS,149,172,False,HasanAbi,0.46417445482866043
70,hasPOGGERS,0,16,False,HasanAbi,0.0
71,EZ,10,135,True,False,0.06896551724137931
72,Clap,10,180,True,False,0.05263157894736842
73,fishPats,0,2,False,HasanAbi,0.0
74,hasO,3,50,False,HasanAbi,0.05660377358490566
75,hasBaited,8,13,False,HasanAbi,0.38095238095238093
76,hasPray,1,28,False,HasanAbi,0.034482758620689655
77,DANKIES,1,20,False,HasanAbi,0.047619047619047616
78,PogO,5,79,False,HasanAbi,0.05952380952380952
79,hasHmm,0,19,False,HasanAbi,0.0
80,AintNoWay,22,121,False,HasanAbi,0.15384615384615385
81,VapeNation,0,1,True,False,0.0
82,Gayge,7,4,True,False,0.6363636363636364
83,smHead,0,4,False,HasanAbi,0.0
84,hasFlex,0,22,False,HasanAbi,0.0
85,hasMods,0,10,False,HasanAbi,0.0
86,peepoClap,0,26,False,HasanAbi,0.0
87,freePalestine,0,24,False,HasanAbi,0.0
88,Kappa,3,27,True,False,0.1
89,AYAYA,0,23,True,False,0.0
90,hasPause,0,12,False,HasanAbi,0.0
91,hasWiggle,0,1,False,HasanAbi,0.0
92,hasREE,12,32,False,HasanAbi,0.2727272727272727
93,NERD,6,25,False,HasanAbi,0.1935483870967742
94,hasRant,0,9,False,HasanAbi,0.0
95,ReallyMad,1,8,False,HasanAbi,0.1111111111111111
96,hasRage,10,15,False,HasanAbi,0.4
97,Wokege,16,11,False,HasanAbi,0.5925925925925926
98,WeirdChamp,0,12,False,HasanAbi,0.0
99,Sussy,56,13,False,HasanAbi,0.8115942028985508
100,hasanHyperSmash,0,2,False,HasanAbi,0.0
101,Bedge,0,520,False,HasanAbi,0.0
102,LUL,23,73,True,False,0.23958333333333334
103,WAYTOODANK,0,11,True,False,0.0
104,NOOO,3,56,False,HasanAbi,0.05084745762711865
105,pepeMeltdown,10,7,False,HasanAbi,0.5882352941176471
106,hasBuff,0,32,False,HasanAbi,0.0
107,ludwigDance,8,15,False,HasanAbi,0.34782608695652173
108,BebeLa,1,39,False,HasanAbi,0.025
109,:(,2,25,True,False,0.07407407407407407
110,monkaS,6,3,True,False,0.6666666666666666
111,Susge,0,8,False,HasanAbi,0.0
112,has0head,8,2,False,HasanAbi,0.8
113,hasCapital,1,18,False,HasanAbi,0.05263157894736842
114,DinkDonk,0,7,False,HasanAbi,0.0
115,BloodTrail,1,10,True,False,0.09090909090909091
116,FeelsStrongMan,3,43,True,False,0.06521739130434782
117,Concerned,0,10,False,HasanAbi,0.0
118,gachiHYPER,1,8,False,HasanAbi,0.1111111111111111
119,BatChest,9,91,True,False,0.09
120,HYPERCLAP,45,223,False,HasanAbi,0.16791044776119404
121,BisexualPride,0,16,True,False,0.0
122,miyanoHype,0,33,False,HasanAbi,0.0
123,NotLikeThis,7,22,True,False,0.2413793103448276
124,RIPBOZO,25,201,False,HasanAbi,0.11061946902654868
125,PagChomp,0,7,False,HasanAbi,0.0
126,DANKHACKERMANS,6,1,False,HasanAbi,0.8571428571428571
127,CLUELESS,0,12,False,HasanAbi,0.0
128,CrabPls,0,25,False,HasanAbi,0.0
129,pepeP,0,2,False,HasanAbi,0.0
130,Stare,0,2,True,False,0.0
131,reeferSad,0,7,False,HasanAbi,0.0
132,HOGGAO,31,74,False,HasanAbi,0.29523809523809524
133,BBoomer,1,10,False,HasanAbi,0.09090909090909091
134,widepeepoHas,14,175,False,HasanAbi,0.07407407407407407
135,pepeWoah,0,2,False,HasanAbi,0.0
136,hasEZ,0,10,False,HasanAbi,0.0
137,hasWeird,0,14,False,HasanAbi,0.0
138,COPIUM,1,16,False,HasanAbi,0.058823529411764705
139,hasSadge,3,11,False,HasanAbi,0.21428571428571427
140,hasPains,0,8,False,HasanAbi,0.0
141,PainsChamp,0,18,False,HasanAbi,0.0
142,OSFrog,0,2,True,False,0.0
143,WutFace,0,12,True,False,0.0
144,hasChud,9,54,False,HasanAbi,0.14285714285714285
145,LIBBERS,29,138,False,HasanAbi,0.17365269461077845
146,TeaTime,0,10,True,False,0.0
147,WhySoSerious,1,3,True,False,0.25
148,modCheck,0,21,False,HasanAbi,0.0
149,RaccAttack,0,1,True,False,0.0
150,PauseChamp,1,6,False,HasanAbi,0.14285714285714285
151,ModLove,0,2,True,False,0.0
152,FADEDTHANAHO,0,249,False,HasanAbi,0.0
153,ZZoomer,0,1,False,HasanAbi,0.0
154,DonkSass,0,8,False,HasanAbi,0.0
155,hasCrabPls,6,20,False,HasanAbi,0.23076923076923078
156,monkaLIB,0,4,False,HasanAbi,0.0
157,NOTED,0,5,False,HasanAbi,0.0
158,4Head,0,8,True,False,0.0
159,DansGame,0,6,True,False,0.0
160,PepeSpit,21,12,False,HasanAbi,0.6363636363636364
161,MrDestructoid,1,9,True,False,0.1
162,KEKHeim,0,1,True,False,0.0
163,ResidentSleeper,2,3,True,False,0.4
164,Squid1,0,1,True,False,0.0
165,Squid2,0,5,True,False,0.0
166,Squid3,0,1,True,False,0.0
167,Squid4,0,1,True,False,0.0
168,hasSammie,4,0,False,HasanAbi,1.0
169,hasNerd,0,3,False,HasanAbi,0.0
170,Drake,0,1,False,HasanAbi,0.0
171,PoroSad,1,1,True,False,0.5
172,StinkyCheese,1,0,True,False,1.0
173,hasMald,0,1,False,HasanAbi,0.0
174,WTFF,1,2,False,HasanAbi,0.3333333333333333
175,hasRight,2,9,False,HasanAbi,0.18181818181818182
176,hasHAAA,0,2,False,HasanAbi,0.0
177,hasLeft,2,9,False,HasanAbi,0.18181818181818182
178,MmmHmm,1,0,False,HasanAbi,1.0
179,WhatChamp,8,1,False,HasanAbi,0.8888888888888888
180,PUNCHIES,1,0,False,HasanAbi,1.0
181,DIESOFCRINGE,1,0,False,HasanAbi,1.0
182,hasDespair,1,8,False,HasanAbi,0.1111111111111111
183,nymnCorn,0,2,True,False,0.0
184,hasCheck,0,1,False,HasanAbi,0.0
185,hasFoe,0,8,False,HasanAbi,0.0
186,TURKIES,0,2,False,HasanAbi,0.0
187,peepoPopcorn,0,2,False,HasanAbi,0.0
188,Corpa,12,31,False,HasanAbi,0.27906976744186046
189,MALARKEY,0,13,False,HasanAbi,0.0
190,hasAY,0,4,False,HasanAbi,0.0
191,:/,1,4,True,False,0.2
192,:tf:,0,11,True,False,0.0
193,hasD,0,3,False,HasanAbi,0.0
194,hasFatty,0,3,False,HasanAbi,0.0
195,peepoCheer,0,378,False,HasanAbi,0.0
196,TTrump,0,28,False,HasanAbi,0.0
197,hasHaram,0,8,False,HasanAbi,0.0
198,hasKapp,1,1,False,HasanAbi,0.5
199,hasMad,0,1,False,HasanAbi,0.0
200,haspeepoGoose,0,9,False,HasanAbi,0.0
201,D:,0,17,True,False,0.0
202,hasSmash,0,1,False,HasanAbi,0.0
203,hasWut,1,6,False,HasanAbi,0.14285714285714285
204,hasStop,0,1,False,HasanAbi,0.0
205,GivePLZ,0,3,True,False,0.0
206,hasEVIL,0,1,False,HasanAbi,0.0
207,hasSilly,4,0,False,HasanAbi,1.0
208,FLUSH,8,2,False,HasanAbi,0.8
209,LuL,0,1,True,False,0.0
210,HACKERMANS,1,4,False,HasanAbi,0.2
211,NOPERS,1,11,False,HasanAbi,0.08333333333333333
212,FBCatch,0,4,True,False,0.0
213,ratJAM,0,4,False,HasanAbi,0.0
214,hasWhat,0,1,False,HasanAbi,0.0
215,Tastge,2,1,False,HasanAbi,0.6666666666666666
216,:O,0,2,True,False,0.0
217,HOGIUM,0,1,False,HasanAbi,0.0
218,2Yil,0,1,False,HasanAbi,0.0
219,KKool,0,17,False,HasanAbi,0.0
220,AmericaMoment,0,8,False,HasanAbi,0.0
221,dankHog,0,4,False,HasanAbi,0.0
222,WineTime,0,4,True,False,0.0
223,hasComfy,0,9,False,HasanAbi,0.0
224,KKona,1,1,True,False,0.5
225,TomatoTime,0,2,False,HasanAbi,0.0
226,PianoTime,0,1,True,False,0.0
227,GAMBA,0,15,False,HasanAbi,0.0
228,Tssk,0,10,False,HasanAbi,0.0
229,ConcernDoge,0,1,True,False,0.0
230,RIDING,7,1,False,HasanAbi,0.875
231,ItalianHands,1,0,False,HasanAbi,1.0
232,catJAM,0,4,False,HasanAbi,0.0
233,peepoCocoa,1,13,False,HasanAbi,0.07142857142857142
234,CHYNA,0,2,False,HasanAbi,0.0
235,Joel,0,3,False,HasanAbi,0.0
236,B),0,1,True,False,0.0
237,:D,2,6,True,False,0.25
238,hasStrike,0,5,False,HasanAbi,0.0
239,hasNews,0,1,False,HasanAbi,0.0
240,PETTHECHUD,0,1,False,HasanAbi,0.0
241,VoteYea,0,8,True,False,0.0
242,hasJump,0,5,False,HasanAbi,0.0
243,TheIlluminati,0,4,True,False,0.0
244,has5,0,5,False,HasanAbi,0.0
245,hasZzz,0,2,False,HasanAbi,0.0
246,Madgay,0,1,False,HasanAbi,0.0
247,SWOONER,0,3,False,HasanAbi,0.0
248,hasBOOMER,0,10,False,HasanAbi,0.0
249,KEKWiggle,0,7,False,HasanAbi,0.0
250,CiGrip,5,34,True,False,0.1282051282051282
251,HASINO,0,11,False,HasanAbi,0.0
252,peepoPogO,0,1,False,HasanAbi,0.0
253,FeelsGoodMan,0,1,True,False,0.0
254,HasChest,0,19,False,HasanAbi,0.0
255,HarleyWink,1,0,True,False,1.0
256,DarkKnight,1,0,True,False,1.0
257,hasSmol,0,5,False,HasanAbi,0.0
258,MODS,0,4,False,HasanAbi,0.0
259,pokiEars,4,45,False,HasanAbi,0.08163265306122448
260,pepeD,0,6,False,HasanAbi,0.0
261,hasBork,0,5,False,HasanAbi,0.0
262,Grumpge,0,3,False,HasanAbi,0.0
263,HASCEND,0,17,False,HasanAbi,0.0
264,VirtualHug,0,1,True,False,0.0
265,BORT,0,1,True,False,0.0
266,imGlitch,0,1,True,False,0.0
267,Awkward,0,2,False,HasanAbi,0.0
268,xqCaren,0,1,False,HasanAbi,0.0
269,TransgenderPride,5,0,True,False,1.0
270,Grrr,2,1,False,HasanAbi,0.6666666666666666
271,:P,1,0,True,False,1.0
272,peepoD,0,3,False,HasanAbi,0.0
273,hasDaycare,0,2,False,HasanAbi,0.0
274,peepoChat,0,1,False,HasanAbi,0.0
275,PepeLaugh,0,16,False,HasanAbi,0.0
276,TrollDespair,0,1,False,HasanAbi,0.0
277,Shush,0,1,True,False,0.0
278,FallHalp,1,7,True,False,0.125
279,peepoT,0,7,False,HasanAbi,0.0
280,3Head,0,8,False,HasanAbi,0.0
281,hasBoot,1,4,False,HasanAbi,0.2
282,peepoGiggles,0,3,False,HasanAbi,0.0
283,hasArrive,0,1,False,HasanAbi,0.0
284,PepeS,0,1,False,HasanAbi,0.0
285,dankCrayon,3,1,False,HasanAbi,0.75
286,neffHyperJAM,0,5,False,HasanAbi,0.0
287,BasedGod,0,1,True,False,0.0
288,FallWinning,0,10,True,False,0.0
289,DewTime,0,1,False,HasanAbi,0.0
290,HYPERITALIANHANDS,0,1,False,HasanAbi,0.0
291,hasAim,0,8,False,HasanAbi,0.0
292,Aware,0,1,False,HasanAbi,0.0
293,CarlSmile,0,1,True,False,0.0
294,MercyWing1,0,8,True,False,0.0
295,SeriousSloth,0,2,True,False,0.0
296,MercyWing2,0,8,True,False,0.0
297,Danki,0,1,False,HasanAbi,0.0
298,peepoBye,1,0,False,HasanAbi,1.0
